N2Oraw,CO2raw,CH4raw,SampleName,Site,LUtype,Chamber,TimePt,TimePtSq,SampleDate,Pressure,N2Oc,CO2c,CH4c,N2Oppm,CO2ppm,CH4ppm,ngN_cm3_N2O,ngC_cm3_CO2,ngC_cm3_CH4,GCrun,easycallname,pitID,sampledepth,sampleorder,Month
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,1.319,2134.9104,0.3193,NA,NA,NA,CENAJankowskiRun,NA,K4,15,A,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,0.8535,2631.9123,0.3389,NA,NA,NA,CENAJankowskiRun,NA,K4,40,A,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,0.9347,3367.6426,0.4136,NA,NA,NA,CENAJankowskiRun,NA,K4,75,A,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,1.1269,4729.3946,0.519,NA,NA,NA,CENAJankowskiRun,NA,K4,150,A,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,1.0781,3873.4796,0.4503,NA,NA,NA,CENAJankowskiRun,NA,K4,250,A,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,1.2575,3622.9991,0.4083,NA,NA,NA,CENAJankowskiRun,NA,K4,350,A,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,0.5678,"122,658,983",0.8112,NA,NA,NA,CENAJankowskiRun,NA,K4,450,A,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,1.6492,1769.177,0.343,NA,NA,NA,CENAJankowskiRun,NA,K4,15,B,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,1.1921,2148.7763,0.3794,NA,NA,NA,CENAJankowskiRun,NA,K4,40,B,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,1.1677,2817.9171,0.3867,NA,NA,NA,CENAJankowskiRun,NA,K4,75,B,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,0.7763,6729.8737,0.5741,NA,NA,NA,CENAJankowskiRun,NA,K4,150,B,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,0.6758,10100.0471,0.7933,NA,NA,NA,CENAJankowskiRun,NA,K4,250,B,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,0.9908,7857.316,0.649,NA,NA,NA,CENAJankowskiRun,NA,K4,350,B,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,0.4567,11357.9897,0.745,NA,NA,NA,CENAJankowskiRun,NA,K4,450,B,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,1.2364,6395.478,0.4092,NA,NA,NA,CENAJankowskiRun,NA,C2,15,A,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,0.7906,7485.3273,0.3951,NA,NA,NA,CENAJankowskiRun,NA,C2,40,A,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,0.607,7562.781,0.3167,NA,NA,NA,CENAJankowskiRun,NA,C2,75,A,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,0.7523,7996.5785,0.4141,NA,NA,NA,CENAJankowskiRun,NA,C2,150,A,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,1.0632,5786.0223,0.3812,NA,NA,NA,CENAJankowskiRun,NA,C2,15,B,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,0.7587,6777.606,0.3727,NA,NA,NA,CENAJankowskiRun,NA,C2,40,B,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,0.8481,6131.824,0.3264,NA,NA,NA,CENAJankowskiRun,NA,C2,75,B,Jan
NA,NA,NA,NA,NA,F,NA,NA,NA,1/27/15,Y,NA,NA,NA,0.6171,9107.5719,0.4054,NA,NA,NA,CENAJankowskiRun,NA,C2,150,B,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,1.2917,2757.3751,0.361,NA,NA,NA,CENAJankowskiRun,NA,MU ,15,A,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.8484,3284.3523,0.3138,NA,NA,NA,CENAJankowskiRun,NA,MU ,40,A,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.8596,2929.0508,0.2977,NA,NA,NA,CENAJankowskiRun,NA,MU ,75,A,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.7529,3934.729,0.2963,NA,NA,NA,CENAJankowskiRun,NA,MU ,150,A,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.7275,5135.3383,0.3456,NA,NA,NA,CENAJankowskiRun,NA,MU ,250,A,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.4425,5460.7274,0.3684,NA,NA,NA,CENAJankowskiRun,NA,MU ,350,A,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.4553,5359.7814,0.3588,NA,NA,NA,CENAJankowskiRun,NA,MU ,450,A,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,1.3254,2803.735,0.4061,NA,NA,NA,CENAJankowskiRun,NA,MU ,15,B,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.8463,3098.6575,0.3355,NA,NA,NA,CENAJankowskiRun,NA,MU ,40,B,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.6958,4717.1445,0.4831,NA,NA,NA,CENAJankowskiRun,NA,MU ,75,B,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.5022,5120.9997,0.4491,NA,NA,NA,CENAJankowskiRun,NA,MU ,150,B,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.7158,4683.3369,0.4709,NA,NA,NA,CENAJankowskiRun,NA,MU ,250,B,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.4792,5224.2257,0.4749,NA,NA,NA,CENAJankowskiRun,NA,MU ,350,B,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.5242,5534.4034,0.5262,NA,NA,NA,CENAJankowskiRun,NA,MU ,450,B,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.7167,4031.5485,0.4405,NA,NA,NA,CENAJankowskiRun,NA,MU ,75,C,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.6309,3834.2411,0.4202,NA,NA,NA,CENAJankowskiRun,NA,MU ,75,D,Jan