"Site","Chamber","DateField","TestType","DateLabBegin","DateIncubBegin","SampleID","ExtractionSoilWeight","ExtractantVol","SoilWetWeight_DarroMinusBaggie","SoilDryWeight_TownMinusPapBag","NO3_N_mgL","NH4_N_mgL","NO3_N_mgL_blankcorr","NH4_N_mgL_blankcorr","SampleSoilWater_g","SampleSoilWater_L","TotalExtractantVol_L","NO3_N_mgN","NH4_N_mgN","NO3_N_NH4_N_mgN","ExtractionSoilWeight_DryEquiv","NO3_N_mgNg","NH4_N_mgNg","NO3_N_NH4_N_mgNg"
"SM","A","7/3/14","Ext","7/3/14",NA,"SMA_07032014",10.3,50,246.71,193.95,1.0492,2.686,1.0492,2.686,2.20269952575899,0.00220269952575899,0.052202699525759,0.0547710723424263,0.140216450926189,0.194987523268615,8.09730047424101,0.00676411509201901,0.0173164440880319,0.0240805591800509
"SM","B","7/3/14","Ext","7/3/14",NA,"SMB_07032014",9.83,50,267.31,210.85,0.935143,0.666,0.935143,0.666,2.07624780217725,0.00207624780217725,0.0520762478021772,0.0486987385984714,0.03468278103625,0.0833815196347215,7.75375219782275,0.00628066739251043,0.00447303191427615,0.0107536993067866
"SM","C","7/3/14","Ext","7/3/14",NA,"SMC_07032014",9.67,50,357.51,277.45,0.8098,2.471,0.8098,2.471,2.1654784481553,0.0021654784481553,0.0521654784481553,0.0422436044473162,0.128900897245392,0.171144501692708,7.5045215518447,0.00562908696516864,0.0171764310828991,0.0228055180480678
"SM","D","7/3/14","Ext","7/3/14",NA,"SMD_07032014",9.53,50,376.61,290.15,2.37445,4.013,2.37445,4.013,2.18784365789544,0.00218784365789544,0.0521878436578954,0.12391742537349,0.209429816599134,0.333347241972624,7.34215634210456,0.0168775247488083,0.028524292706508,0.0454018174553163
"SM","E","7/3/14","Ext","7/3/14",NA,"SME_07032014",9.88,50,477.71,372.65,1.1689,1.176,1.1689,1.176,2.17285131146512,0.00217285131146512,0.0521728513114651,0.0609848458979716,0.061355273142283,0.122340119040255,7.70714868853489,0.00791276363834687,0.00796082645110438,0.0158735900894512
"M2","A","7/3/14","Ext","7/3/14",NA,"M2A_07032014",10.12,50,529.61,441.95,1.2886,0.369,1.2886,0.369,1.67504238968297,0.00167504238968297,0.051675042389683,0.0665884596233455,0.019068090641793,0.0856565502651385,8.44495761031703,0.00788499631330248,0.00225792615210974,0.0101429224654122
"M2","B","7/3/14","Ext","7/3/14",NA,"M2B_07032014",10.39,50,525.61,439.95,2.4172,0.399,2.4172,0.399,1.69328475485626,0.00169328475485626,0.0516932847548563,0.124953007909439,0.0206256206171877,0.145578628526626,8.69671524514374,0.014367839395364,0.00237165642840899,0.016739495823773
"M2","C","7/3/14","Ext","7/3/14",NA,"M2C_07032014",9.53,50,267.71,224.15,2.18635,0.365,2.18635,0.365,1.55065854842927,0.00155065854842927,0.0515506585484293,0.112707782317358,0.0188159903701767,0.131523772687535,7.97934145157073,0.0141249479047136,0.00235808813100394,0.0164830360357175
"M2","D","7/3/14","Ext","7/3/14",NA,"M2D_07032014",9.88,50,554.61,462.65,2.11795,0.331,2.11795,0.331,1.63820486467969,0.00163820486467969,0.0516382048646797,0.109367135993148,0.017092245810209,0.126459381803357,8.24179513532031,0.0132698197658971,0.00207384987488465,0.0153436696407818
"M2","E","7/3/14","Ext","7/3/14",NA,"M2E_07032014",10,50,586.61,484.75,2.532,0.296,2.532,0.296,1.73641772216635,0.00173641772216635,0.0517364177221663,0.130996609672525,0.0153139796457612,0.146310589318286,8.26358227783365,0.0158522787416194,0.00185318898401238,0.0177054677256318
"SM","A","7/3/14","Inc","14/3/2014","7/3/14","SMA_07032014",9.49,50,246.71,193.95,3.46115,0.3827512,3.46115,0.3827512,2.02947752421872,0.00202947752421872,0.0520294775242187,0.18008182613295,0.0199143449577677,0.199996171090717,7.46052247578128,0.024137964427765,0.0026692962888879,0.0268072607166529
"SM","B","7/3/14","Inc","14/3/2014","7/3/14","SMB_07032014",10.19,50,267.31,210.85,2.7377,0.4984976,2.7377,0.4984976,2.15228536156522,0.00215228536156522,0.0521522853615652,0.142777311634357,0.0259977890872554,0.168775100721613,8.03771463843478,0.0177634213277023,0.00323447525282113,0.0209978965805234
"SM","C","7/3/14","Inc","14/3/2014","7/3/14","SMC_07032014",9.98,50,357.51,277.45,4.35155,0.551698,4.35155,0.551698,2.23489916365976,0.00223489916365976,0.0522348991636598,0.227302775455624,0.0288178893987928,0.256120664854416,7.74510083634024,0.0293479426877326,0.00372078943938062,0.0330687321271133
"SM","D","7/3/14","Inc","14/3/2014","7/3/14","SMD_07032014",9.58,50,376.61,290.15,5.61295,0.569716,5.61295,0.569716,2.19932237593266,0.00219932237593266,0.0521993223759327,0.292992186529991,0.0297387891467269,0.322730975676718,7.38067762406734,0.0396971933274237,0.00402927626181001,0.0437264695892337
"SM","E","7/3/14","Inc","14/3/2014","7/3/14","SME_07032014",10.43,50,477.71,372.65,3.4797,0.6237568,3.4797,0.6237568,2.29380963345963,0.00229380963345963,0.0522938096334596,0.181966769381549,0.032618619356776,0.214585388738325,8.13619036654037,0.0223651071550486,0.0040090776994253,0.0263741848544739
"M2","A","7/3/14","Inc","14/3/2014","7/3/14","M2A_07032014",10.27,50,529.61,441.95,2.4038,0.3287984,2.4038,0.3287984,1.69987009308737,0.00169987009308737,0.0516998700930874,0.124276147729763,0.016998834566815,0.141274982296578,8.57012990691263,0.0145010809730577,0.00198349788759955,0.0164845788606572
"M2","B","7/3/14","Inc","14/3/2014","7/3/14","M2B_07032014",10.38,50,525.61,439.95,2.9974,0.4109288,2.9974,0.4109288,1.69165502939442,0.00169165502939442,0.0516916550293944,0.154940566785107,0.021241589771243,0.17618215655635,8.68834497060558,0.0178331508830855,0.00244483728985297,0.0202779881729385
"M2","C","7/3/14","Inc","14/3/2014","7/3/14","M2C_07032014",9.58,50,267.71,224.15,3.0716,0.2948216,3.0716,0.2948216,1.55879421762355,0.00155879421762355,0.0515587942176235,0.158367992318853,0.0152006462053105,0.173568638524163,8.02120578237645,0.0197436640594368,0.00189505750353746,0.0216387215629742
"M2","D","7/3/14","Inc","14/3/2014","7/3/14","M2D_07032014",9.6,50,554.61,462.65,3.98055,0.3645792,3.98055,0.3645792,1.5917780061665,0.0015917780061665,0.0515917780061665,0.205363651942446,0.0188092891520658,0.224172941094512,8.0082219938335,0.0256441007879877,0.00234874722086242,0.0279928480088501
"M2","E","7/3/14","Inc","14/3/2014","7/3/14","M2E_07032014",9.78,50,586.61,484.75,2.638643,0.3135788,2.638643,0.3135788,1.69821653227869,0.00169821653227869,0.0516982165322787,0.136413137165381,0.0162114647023321,0.152624601867714,8.08178346772131,0.016879088348533,0.00200592663328346,0.0188850149818165
"Ext Blank",NA,NA,"Ext","7/3/14",NA,"ext bnk 07032014",NA,50,NA,NA,0.06595,0.139,0.06595,0.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ext Blank",NA,NA,"Ext","7/3/14",NA,"ext bnk 07032014",NA,50,NA,NA,0.0574,0.137,0.0574,0.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ext Blank",NA,NA,"Ext","7/3/14",NA,"ext bnk 07032014",NA,50,NA,NA,0.06595,0.19,0.06595,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inc Blank",NA,NA,"Inc","14/3/2014",NA,"inc bnk 14032014",NA,50,NA,NA,0.06595,0.139,0.06595,0.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inc Blank",NA,NA,"Inc","14/3/2014",NA,"inc bnk 14032014",NA,50,NA,NA,0.0574,0.137,0.0574,0.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inc Blank",NA,NA,"Inc","14/3/2014",NA,"inc bnk 14032014",NA,50,NA,NA,0.06595,0.19,0.06595,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
